party_genre_all_ref,party_name_ref,Top_10_Artist
NULL,Buddy – The Buddy Holly Story,
NULL,Buddy Valastro,
NULL,Buford School of Ballet,
NULL,Bullets and Octane,
NULL,Buoys of Summer,
NULL,Buraka Som Sistema,
NULL,BURNING THE MOGWAI MOVIE,
NULL,Butch Walker,
NULL,Butchers Blind,
NULL,BUYGORE x BUKU,
NULL,Buzz Halloweenie Roast,
NULL,BYNX,
NULL,BZ,
NULL,B'z,
NULL,CAGE,
NULL,Caleb Johnson,
NULL,Caleb Lee Hutchinson,
NULL,Caleb Scofield,
NULL,California Cannabis Awards,
NULL,CALIFORNIA METALFEST,
NULL,California Vibrations Festival,
NULL,Caligula's Horse,
NULL,Call of Duty League,
NULL,Call Your Girlfriend,
NULL,Calla,
NULL,Calling All Divas,
NULL,Cameron Avery,
NULL,Camilo,
NULL,Campfire Caravan,
NULL,Cam'ron,
NULL,CANT,
NULL,Cantina,
NULL,Capcom Cup,
NULL,Capitol Steps,
NULL,Captain Scott Kelly,
NULL,Capture the Crown,
NULL,Carbon/Silicon,
NULL,Carin Leon,
NULL,Carla Visi,
NULL,Carlos Rivera,
NULL,Carly Henley,
NULL,Carney,
NULL,Carnival of Death,
NULL,Carnival of Madness,
NULL,Carrot Top,
NULL,Carsie Blanton,
NULL,Carver Commodore,
NULL,Cascine,
NULL,case/lang/veirs,
NULL,Cash Unchained (Tribute to Johnny Cash),
NULL,Cash'd Out,
NULL,Casket Girl,
NULL,Cat & Nat,
NULL,Catch A Fire,
NULL,Catherine Russell,
NULL,CD102.5 SUMMER FESTIVAL,
NULL,Celebrate The Life of Kim Shattuck,
NULL,Celebrating Billy Joel,
NULL,Celebrating David Bowie,
NULL,Celebrating Ikey and Aaron Owens,
NULL,Celeste Barber,
NULL,Celtic Crossing,
NULL,Celtic Crossroads,
NULL,Center Stage,
NULL,CESAR LOZANO,
NULL,Cesar Millan,
NULL,Chad Calek,
NULL,Chad Prather,
NULL,Chad Tepper,
NULL,Chadwick Stokes & The Pintos,
NULL,Chai,
NULL,Chamberlin,
NULL,Chambers Performing Arts,
NULL,Champions of Magic,
NULL,Champions on Ice,
NULL,Championship,
NULL,Chaos & Carnage Tour,
NULL,Chapo Trap House,
NULL,Character,
NULL,Charlie Brown,
NULL,Charlie Sexton,
NULL,Charlotte Sands,
NULL,Charming Liars,
NULL,Chase Matthew,
NULL,Cheekface,
NULL,Cheem,
NULL,Cheeseburger,
NULL,Chef Robert Irvine,
NULL,Chelsea Handler,
NULL,Chelsea Light Moving,
NULL,Chelsea Peretti,
NULL,Chelsea Reject,
NULL,Cherub,
NULL,Cheryl Burke,
NULL,CHERYL PRESENTS WEEKEND AT BASQUIAT'S,
NULL,Chevy Chase,
NULL,Children's Hospital,
NULL,Chili Cook Off,
NULL,Chill On The Hill,
NULL,Chinese American Top Idol,
NULL,CHINESE NEW YEAR SPECTACULAR,
NULL,Chinua Hawk,
NULL,Chippendales,
NULL,CHO YONG PIL,
NULL,Choke Up,
NULL,Chris Anthony,
NULL,Chris Batten and The Woods,
NULL,Chris Cubeta,
NULL,Chris Distefano,
NULL,Chris Fleming,
NULL,Chris Gethard,
NULL,Chris Higbee,
NULL,Chris Jamison,
NULL,Chris Lee,
NULL,Chris Owens,
NULL,Chris Robinson,
NULL,Chris Staples,
NULL,Chrissie Hynde,
NULL,Christian Scott,
NULL,Christmas Is A Drag,
NULL,Christmas Xtravaganza,
NULL,Christopher Lloyd,
NULL,Chronic Future,
NULL,Chubby Checker & The Wildcats,
NULL,Chuck Negron - formerly of Three Dog Night,
NULL,Churchill,
NULL,CIF,
NULL,CINCO DE MAYO,
NULL,Cindy Wilson of The B-52's,
NULL,Cinematic Titanic,
NULL,Circa Zero,
NULL,Circle V,
NULL,Cirque Berzerk,
NULL,Cirque Dreams,
NULL,Cirque Dreams Holidaze,
NULL,Cirque Dreams Illumination,
NULL,Cirque Dreams Jungle Fantasy,
NULL,Cirque Musica,
NULL,Cirque Musica: Holiday Wishes,
NULL,Cise Star,
NULL,Claire Rosinkranz,
NULL,Clarence Clemons,
NULL,Clash Royale League,
NULL,Classic Albums Live,
NULL,Claudia Oshry,
NULL,Claudio Simonetti's GOBLIN,
NULL,Clay Cook,
NULL,cleopatrick,
NULL,Clifford the Big Red Dog,
NULL,Clinton Kane,
NULL,Clubhouse,
NULL,C'MB,
NULL,Coagula,
NULL,Coastgaard,
NULL,Cochise,
NULL,Cocked N' Loaded,
NULL,Cody Ko,
NULL,Colby Drasher,
NULL,Cold Fronts,
NULL,Cold Hart,
NULL,Cold Turkey,
NULL,Cole Escola,
NULL,Colin Mochrie & Brad Sherwood,
NULL,Colin Quinn,
NULL,Color Channel,
NULL,Color Guard,
NULL,Color Red Label,
NULL,Colorado Avalanche,
NULL,Colorado Bike Expo,
NULL,Columbus Blue Jackets,
NULL,Come,
NULL,Comedy & Pet,
NULL,Comedy Bang Bang,
NULL,Comedy's Most Wanted,
NULL,COMMON VISION TOUR,
NULL,Complexions Contemporary Ballet,
NULL,Con Bro Chill,
NULL,Conan,
NULL,Conan O'Brien,
NULL,CONCERT FOR HOPE,
NULL,Concierto De Estrellas,
NULL,Condola and the Stoop Kids,
NULL,Congreso de Hombres,
NULL,Conspirator,
NULL,Conway the Machine,
NULL,Cooper,
NULL,Corey Feldman,
NULL,Corey Holcomb,
NULL,Corey Kent,
NULL,Cortex,
NULL,Cory Chisel,
NULL,Cory Henry,
NULL,Cosmic Charlie (Tribute to Grateful Dead),
NULL,Cosmic Jerry Band,
NULL,Cosmonaut,
NULL,Couch,
NULL,COUNTERFEIT.,
NULL,Country Mice,
NULL,COUNTRY RISING,
NULL,Cousin Simple,
NULL,Covenhoven,
NULL,Covex,
NULL,Coy Bowles,
NULL,Coyote Peterson,
NULL,Craig Owens,
NULL,Craig Wedren,
NULL,CrankGameplays,
NULL,Crash City DJs,
NULL,Craze,
NULL,Creatures,
NULL,Creaturos,
NULL,Creedence Clearwater Revisited,
NULL,Crime Junkie Podcast Live,
NULL,Crizzly,
NULL,Cropduster,
NULL,CROWN ROYAL COMEDY FEST,
NULL,Crucial Star,
NULL,Crystal - Cirque du Soleil,
NULL,Crystal Garden,
NULL,Crystal Meth,
NULL,Crystal Skies,
NULL,Cubic Zirconia,
NULL,Cudzoo & The Faggettes,
NULL,Cuff Me: The Fifty Shades of Grey Musical Parody,
NULL,Curious George,
NULL,Cynthia Atkins,
NULL,D Smoke,
NULL,Da 808,
NULL,Dada,
NULL,Daði Freyr,
NULL,DADT: SPOOKYBALL,
NULL,Daily Bread,
NULL,Dale Earnhardt Jr. Jr.,
NULL,Dallas Blues Festival,
NULL,Dallas Comedy Jam,
NULL,Damien Escobar,
NULL,Damn The Torpedos,
NULL,Damn The Witch Siren,
NULL,Dan and Phil,
NULL,Dan Craig,
NULL,Dan Harmon,
NULL,Dan Hicks and The Hot Licks,
NULL,Dan Layus,
NULL,Dan Rather,
NULL,Dan Savage,
NULL,Dan the Automator aka Dr. Octagon aka Lovage,
NULL,Dana Carvey,
NULL,Dance Across America,
NULL,Dance Moms,
NULL,DANCE MUSIC SEX ROMANCE: A PRINCE VIDEO DANCE PARTY IN TRIBUTE,
NULL,Dance Party Time Machine,
NULL,Dance Yourself Clean,
NULL,Dances,
NULL,Dancin and Singin,
NULL,Dancin' Randy's Ska Punk Time Machine,
NULL,DANGEROUS: METAL TRIB TO MICHAEL JACKSON,
NULL,Daniel Howell,
NULL,Daniel Lanois' Black Dub,
NULL,Daniel Nunnelee,
NULL,Daniel Sloss,
NULL,Danielle Rubi,
NULL,Danny Duncan,
NULL,Danny Harf,
NULL,Danny Wood,
NULL,DannyLux,
NULL,Darci Lynne Farmer,
NULL,Dark Horse Music Festival,
NULL,Dark Sky Choir,
NULL,Darkmatter,
NULL,Darren Henson,
NULL,Dave Alvin and Phil Alvin with The Guilty Ones,
NULL,Dave Asprey,
NULL,Dave B,
NULL,Dave Harrington,
NULL,Dave Landau,
NULL,Dave Monks,
NULL,Dave Ramsey,
NULL,Dave Rubin,
NULL,Dave Simonett,
NULL,Davey Suicide,
NULL,David Alan Grier,
NULL,David Blaine,
NULL,David Bromberg Quartet,
NULL,David Copperfield,
NULL,David Duchovny,
NULL,David Foster,
NULL,David Icke,
NULL,David Koechner,
NULL,David Mixner,
NULL,David Rudolf and Jerry Buting,
NULL,David Sedaris,
NULL,David Shaw,
NULL,David Uosikkinen,
NULL,Dawn,
NULL,Dax Riggs,
NULL,Dax Shepard,
NULL,Days N' Daze,
NULL,Days Of My Youth,
NULL,DCappella,
NULL,Dead Ass Podcast,
NULL,Dead Boots,
NULL,Dead Dreams,
NULL,Dead Floyd,
NULL,Dead Heart Bloom,
NULL,Dead On,
NULL,Dead On Live,
NULL,Dead! (A tribute to My Chemical Romance),
NULL,Deadbeat Darling,
NULL,Deadbeats,
NULL,Deadbeats Detroit,
NULL,Deadliest Catch,
NULL,Deadly Syndrome,
NULL,Dean Del Ray,
NULL,Dear Boy,
NULL,Dear Jack Benefit,
NULL,Death DTA,
NULL,Death From Above,
NULL,DeathbyRomy,
NULL,Deathface,
NULL,Decades Rewind,
NULL,December Decimation,
NULL,Decibel Festival,
NULL,Decibel Magazine Tour,
NULL,Deck The Hall Ball,
NULL,Decline Of Western Civilization,
NULL,Deep Swell,
NULL,Defenders of Old Festival,
NULL,Deidre & The Dark,
NULL,Deja Voodoo,
NULL,Del Amitri,
NULL,Del Castillo,
NULL,Del Fuegos,
NULL,Delta Blue,
NULL,Deluka,
NULL,Demon Knight Masquerade Ball,
NULL,Dena Blizzard,
NULL,Dengue Fever,
NULL,Denver,
NULL,Denver Black Sky,
NULL,Denver Comes Alive,
NULL,Denver Ska Fest,
NULL,Departure (Journey Tribute Band),
NULL,DeRay Davis,
NULL,Derek Hough,
NULL,Derek Smalls,
NULL,Derrick Carter,
NULL,Derrick Morgan,
NULL,Des Ark,
NULL,Des Roar,
NULL,Desert Air,
NULL,Desert Daze Caravan,
NULL,DeStorm Power,
NULL,Destroy Boys,
NULL,Desus & Mero,
NULL,Detroit Mega Blues Festival,
NULL,Deva Premal & Miten with Manose,
NULL,Devil's Playground,
NULL,Devin,
NULL,Dew Tour,
NULL,DE'WAYNE,
NULL,Dex Romweber Duo,
NULL,DFW Music Festival,
NULL,Dia Frampton,
NULL,DIA NACIONAL DE LA BANDA,
NULL,Diamondsnake,
NULL,Diana: a Celebration,
NULL,Dick Jr. & the Volunteers,
NULL,Diego El Cigala,
NULL,Diggy Simmons,
NULL,DigiTour,
NULL,Dillaville (Tribute to J Dilla),
NULL,Dinner in White,
NULL,Dinowalrus,
NULL,Dios Malos,
NULL,Dirkschneider,
NULL,Dirty Names,
NULL,Disco Love,
NULL,Disco of the Dead,
NULL,Disco Town Hall,
NULL,Disgraceland,
NULL,Disney Junior Dance Party,
NULL,Disney Junior Holiday Party!,
NULL,Disney Junior LIVE on Tour,
NULL,Disney Live!,
NULL,Disney Music Block Party Tour,
NULL,Disney Princess,
NULL,Distant Worlds: Music from Final Fantasy,
NULL,Dita Von Teese,
NULL,DIVAS SIMPLY SINGING,
NULL,Divine Fits,
NULL,DJ AM,
NULL,DJ Logic,
NULL,DJ noDJ,
NULL,DJ Pauly D,
NULL,DJ Prostyle,
NULL,DJ SCOTTO,
NULL,DJ Sizzle,
NULL,DJ Soul Sister,
NULL,DJ Williams Projekt,
NULL,Django Festival,
NULL,DJDS (DJ Dodger Stadium),
NULL,Djo,
NULL,DK The Drummer,
NULL,DMS,
NULL,Doc and Darryl,
NULL,Doc Robinson,
NULL,Dolls On Parade,
NULL,DOM,
NULL,Domino Kirke,
NULL,Dommin,
NULL,Don Giovanni Records,
NULL,Don Passman,
NULL,Donnie & Joe Emerson,
NULL,Donny McCaslin Group,
NULL,Don't Ask Don't Tell,
NULL,Don't Stop or We'll Die,
NULL,Doo Wop,
NULL,DOO WOP VOLUME 6,
NULL,DOOBIE,
NULL,Doodlebops Live!,
NULL,Doom Side of the Moon,
NULL,Dope Lemon,
NULL,Dora The Explorer Live!,
NULL,Doro,
NULL,Dorsia,
NULL,Double Dare,
NULL,Doug Banks,
NULL,Doughboys,
NULL,Dr. Katz,
NULL,Drag Queens of Comedy,
NULL,Dragon Ball Symphonic Adventure,
NULL,Dragon Tales Live!,
NULL,Dragons of Zynth,
NULL,Dragutante,
NULL,Drawing Boards,
NULL,Dread Zeppelin,
NULL,Dream Team,
NULL,DREAMCATCHER,
NULL,Dreamtigers,
NULL,Drew Green,
NULL,Drew Lynch,
NULL,Drink & Doodle,
NULL,Droneflower,
NULL,Drop the Lime,
NULL,Drop the Mic,
NULL,Dry Cleaning,
NULL,Dub FX,
NULL,Dub Nation,
NULL,Dub Police,
NULL,DubConscious,
NULL,Dub-O,
NULL,DubSkin,
NULL,Duchess,
NULL,DUCK DOWN MUSIC,
NULL,Dude Ranch & The Girl At the Rock Show,
NULL,Duelo de Acordeones,
NULL,Dumpstaphunk,
NULL,Duncan Trussell,
NULL,Duprees,
NULL,DYLAN FEST,
NULL,Dylan Moran,
